RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7703833,3759,694.014,-1,-1,-1,-1,5496725,570884,6995090,2049,1780866
9,Bayern,9144318,5044,696.724,-1,-1,-1,-1,6623741,697068,8357647,3920,2341057
11,Berlin,2661630,866,725.340,-1,-1,-1,-1,1884079,308996,2432803,1129,714268
12,Brandenburg,1652070,263,655.091,-1,-1,-1,-1,1156194,136585,1473273,276,360291
4,Bremen,569790,240,836.448,-1,-1,-1,-1,389456,36581,502196,29,115099
2,Hamburg,1432245,506,775.338,-1,-1,-1,-1,1015932,120998,1286389,227,265158
6,Hessen,4515769,1719,718.148,-1,-1,-1,-1,3193527,358511,4034572,898,894009
13,Mecklenburg-Vorpommern,1130743,274,703.138,-1,-1,-1,-1,833240,87259,1020236,85,247834
3,Niedersachsen,5926064,1371,741.350,-1,-1,-1,-1,3893116,479231,5239522,723,1286291
5,Nordrhein-Westfalen,13609089,1351,758.284,-1,-1,-1,-1,9716449,813487,12170314,791,3297801
7,Rheinland-Pfalz,2994786,481,731.523,-1,-1,-1,-1,2173284,217856,2646875,235,656369
10,Saarland,769650,75,779.877,-1,-1,-1,-1,579880,59050,693614,22,191339
14,Sachsen,2479583,230,608.939,-1,-1,-1,-1,1856336,216401,2273586,64,536646
15,Sachsen-Anhalt,1474728,60,671.925,-1,-1,-1,-1,1050589,126658,1321188,13,326497
1,Schleswig-Holstein,2209523,249,760.915,-1,-1,-1,-1,1544910,173190,2009815,74,532846
16,Thüringen,1385584,261,653.504,-1,-1,-1,-1,996004,131181,1250280,43,343117
0,Gesamt,59855421,16749,719.704,-1,-1,-1,-1,42488293,4616931,53887011,10578,13914334
