RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7491387,8602,674.876,-1,-1,-1,-1,5323889,554900,6874138,8426,551560
9,Bayern,8886153,15746,677.054,-1,-1,-1,-1,6407526,677436,8178502,11182,746645
11,Berlin,2588893,3781,705.518,-1,-1,-1,-1,1826439,299867,2388799,2982,310726
12,Brandenburg,1609904,1964,638.371,-1,-1,-1,-1,1122335,132185,1450761,1761,113677
4,Bremen,556873,521,817.486,-1,-1,-1,-1,379177,35397,495344,476,54909
2,Hamburg,1393333,1225,754.273,-1,-1,-1,-1,989988,119125,1265362,1374,102834
6,Hessen,4410232,5034,701.364,-1,-1,-1,-1,3107870,346797,3973823,4585,332041
13,Mecklenburg-Vorpommern,1095661,1528,681.323,-1,-1,-1,-1,804976,82863,1003017,1575,83634
3,Niedersachsen,5806984,5069,726.453,-1,-1,-1,-1,3789884,471528,5157227,6393,452272
5,Nordrhein-Westfalen,13355418,8448,744.150,-1,-1,-1,-1,9503790,795374,11989320,12455,1098596
7,Rheinland-Pfalz,2934974,1932,716.913,-1,-1,-1,-1,2122523,214357,2611123,2919,233257
10,Saarland,752143,572,762.137,-1,-1,-1,-1,566557,57452,685335,590,63558
14,Sachsen,2422111,282,594.825,-1,-1,-1,-1,1805042,211979,2238169,403,168296
15,Sachsen-Anhalt,1428582,1739,650.899,-1,-1,-1,-1,1014618,119965,1296547,1604,108333
1,Schleswig-Holstein,2171771,3071,747.913,-1,-1,-1,-1,1513256,169223,1972412,3606,208237
16,Thüringen,1335763,1248,630.006,-1,-1,-1,-1,961301,126895,1228943,1257,148050
0,Gesamt,58434229,60783,702.616,-1,-1,-1,-1,41322345,4498118,52987101,61603,4779383
