RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7309637,2832,658.502,-1,-1,-1,-1,5164707,552388,6631775,4297,162097
9,Bayern,8590045,5544,654.493,-1,-1,-1,-1,6146995,671650,7835325,7809,128498
11,Berlin,2499094,1951,681.046,-1,-1,-1,-1,1756338,289831,2286012,2511,85175
12,Brandenburg,1572224,584,623.430,-1,-1,-1,-1,1088729,131978,1401511,887,19064
4,Bremen,543601,605,798.003,-1,-1,-1,-1,368459,35147,477020,487,13666
2,Hamburg,1347685,706,729.562,-1,-1,-1,-1,952546,118637,1206755,850,16163
6,Hessen,4302601,1525,684.247,-1,-1,-1,-1,3010171,345039,3834292,2564,81453
13,Mecklenburg-Vorpommern,1065642,814,662.656,-1,-1,-1,-1,778605,82593,965015,1255,12898
3,Niedersachsen,5695783,2144,712.542,-1,-1,-1,-1,3687177,470963,4979017,3030,50717
5,Nordrhein-Westfalen,13105772,5521,730.240,-1,-1,-1,-1,9277490,792720,11585132,9092,268959
7,Rheinland-Pfalz,2879648,1084,703.399,-1,-1,-1,-1,2073129,214073,2525793,1653,60142
10,Saarland,736500,352,746.286,-1,-1,-1,-1,552835,57346,664251,471,10900
14,Sachsen,2362176,1353,580.106,-1,-1,-1,-1,1749917,209850,2158181,2148,23847
15,Sachsen-Anhalt,1393161,561,634.761,-1,-1,-1,-1,982708,119161,1246665,729,26991
1,Schleswig-Holstein,2129406,568,733.324,-1,-1,-1,-1,1475299,168562,1915419,511,58903
16,Thüringen,1296658,435,607.796,-1,-1,-1,-1,928139,126457,1185768,609,24458
0,Gesamt,57022688,26587,685.643,-1,-1,-1,-1,40075612,4469030,51074634,38909,1044188
