RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,1054875,26293,95.030,486518,442693,73081,96399,708972,45047,463497,7884
9,Bayern,1308215,29294,99.676,608426,551567,104848,135429,905706,62250,616286,14529
11,Berlin,362711,8381,98.845,252777,116156,2810,47310,256345,34078,168156,3807
12,Brandenburg,243989,12816,96.748,114815,99897,24780,26328,156647,15442,88753,1612
4,Bremen,73883,2442,108.460,31759,36476,1675,8743,47727,3716,30586,673
2,Hamburg,179265,2809,97.044,71023,97088,5978,16037,123945,6986,81708,1078
6,Hessen,601218,12376,95.612,242522,230863,49186,53627,426469,20416,267929,7460
13,Mecklenburg-Vorpommern,137984,4880,85.804,54686,54770,4975,28086,107204,6980,65875,1938
3,Niedersachsen,736633,21179,92.153,354843,305896,61492,103514,507755,31578,333007,11177
5,Nordrhein-Westfalen,1606409,27657,89.507,620022,837111,33856,200199,1121301,34000,702656,12021
7,Rheinland-Pfalz,433261,8689,105.831,190148,203135,14339,45640,284321,20994,170145,2449
10,Saarland,112486,3065,113.981,58882,39856,6405,13798,76860,5728,38257,740
14,Sachsen,338399,5246,83.104,132081,128004,24317,33995,270683,17733,197848,9133
15,Sachsen-Anhalt,203881,7475,92.894,90481,83918,14315,34690,139324,13428,82616,2111
1,Schleswig-Holstein,308679,9485,106.303,153511,115338,18814,62074,212597,14952,103844,1472
16,Thüringen,228692,5814,107.197,113430,82952,26580,28217,154743,8973,105803,2310
0,Gesamt,7937540,187901,95.441,3575924,3431784,467451,934086,5500599,342671,3516986,80394
