RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7469770,2331,672.928,-1,-1,-1,-1,5304678,554617,6853594,1495,458045
9,Bayern,8846734,3226,674.050,-1,-1,-1,-1,6371817,676989,8148918,2037,591451
11,Berlin,2570224,106,700.431,-1,-1,-1,-1,1809529,299148,2373824,225,259157
12,Brandenburg,1604773,90,636.337,-1,-1,-1,-1,1117647,132144,1445983,100,86518
4,Bremen,555454,0,815.403,-1,-1,-1,-1,377950,35389,494135,0,46257
2,Hamburg,1389647,56,752.278,-1,-1,-1,-1,986862,119089,1261287,79,85379
6,Hessen,4395908,1381,699.086,-1,-1,-1,-1,3094641,346669,3961856,991,273739
13,Mecklenburg-Vorpommern,1092442,63,679.321,-1,-1,-1,-1,802048,82843,999668,44,64196
3,Niedersachsen,5793413,200,724.756,-1,-1,-1,-1,3777060,471439,5140773,391,357614
5,Nordrhein-Westfalen,13322858,266,742.335,-1,-1,-1,-1,9474765,794217,11949011,401,870980
7,Rheinland-Pfalz,2928975,265,715.448,-1,-1,-1,-1,2117027,214343,2603792,409,190656
10,Saarland,750281,0,760.250,-1,-1,-1,-1,564905,57434,683698,1,49812
14,Sachsen,2417043,74,593.581,-1,-1,-1,-1,1800358,211785,2233900,105,140214
15,Sachsen-Anhalt,1423862,181,648.749,-1,-1,-1,-1,1010120,119914,1291896,296,85701
1,Schleswig-Holstein,2167337,9,746.387,-1,-1,-1,-1,1509168,169031,1967824,0,177262
16,Thüringen,1332430,125,628.434,-1,-1,-1,-1,958185,126848,1225213,64,122906
0,Gesamt,58255103,8373,700.462,-1,-1,-1,-1,41159840,4494673,52813525,6638,3861486
