RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7315077,5384,658.993,-1,-1,-1,-1,5169615,552439,6641450,9546,167517
9,Bayern,8599664,9456,655.226,-1,-1,-1,-1,6155382,671821,7849093,13910,137223
11,Berlin,2501639,2542,681.740,-1,-1,-1,-1,1758200,290175,2289271,3326,88815
12,Brandenburg,1573276,911,623.847,-1,-1,-1,-1,1089654,131986,1403139,1496,20051
4,Bremen,544216,601,798.905,-1,-1,-1,-1,368955,35162,477875,853,14118
2,Hamburg,1348703,950,730.113,-1,-1,-1,-1,953413,118648,1208092,1288,17505
6,Hessen,4306265,3047,684.830,-1,-1,-1,-1,3013498,345147,3839541,4749,84326
13,Mecklenburg-Vorpommern,1066694,1050,663.310,-1,-1,-1,-1,779492,82606,966926,1928,13753
3,Niedersachsen,5699825,3755,713.048,-1,-1,-1,-1,3690887,470981,4985571,6411,54602
5,Nordrhein-Westfalen,13117251,9707,730.879,-1,-1,-1,-1,9287321,792817,11603878,16853,280060
7,Rheinland-Pfalz,2882058,2169,703.988,-1,-1,-1,-1,2075259,214089,2529543,3702,62687
10,Saarland,737298,685,747.095,-1,-1,-1,-1,553532,57348,665418,1070,11652
14,Sachsen,2364966,2580,580.791,-1,-1,-1,-1,1752410,209976,2162531,4178,25437
15,Sachsen-Anhalt,1394493,1242,635.367,-1,-1,-1,-1,983898,119182,1248667,1949,28181
1,Schleswig-Holstein,2130622,1202,733.743,-1,-1,-1,-1,1476396,168572,1917216,1796,60946
16,Thüringen,1298417,1687,612.392,-1,-1,-1,-1,929697,126459,1187655,1966,26352
0,Gesamt,57073537,46980,686.255,-1,-1,-1,-1,40119995,4470043,51152601,75039,1093485
