RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6414041,21513,577.821,-1,-1,-1,-1,4459408,524383,4914045,102419
9,Bayern,7507945,30491,572.045,-1,-1,-1,-1,5277771,623024,5627531,97838
11,Berlin,2138539,8697,582.789,-1,-1,-1,-1,1478622,240447,1612262,31621
12,Brandenburg,1370947,4276,543.618,-1,-1,-1,-1,932226,120578,1031973,23073
4,Bremen,465292,1660,683.046,-1,-1,-1,-1,317224,26945,327823,9173
2,Hamburg,1104450,5026,597.888,-1,-1,-1,-1,757881,108688,787000,17320
6,Hessen,3670973,21318,583.799,-1,-1,-1,-1,2513903,291929,2755711,65055
13,Mecklenburg-Vorpommern,933023,3266,580.188,-1,-1,-1,-1,675925,74938,737623,11534
3,Niedersachsen,4925187,27742,616.141,-1,-1,-1,-1,3099153,429733,3406955,84998
5,Nordrhein-Westfalen,11205019,51341,624.332,-1,-1,-1,-1,7679695,722069,8580824,144914
7,Rheinland-Pfalz,2464645,10760,602.028,-1,-1,-1,-1,1737363,186001,1821600,46686
10,Saarland,633464,4483,641.881,-1,-1,-1,-1,473816,50857,482057,9212
14,Sachsen,2052225,7486,503.988,-1,-1,-1,-1,1495025,184392,1688926,30929
15,Sachsen-Anhalt,1212174,5348,552.298,-1,-1,-1,-1,849882,108366,945773,21707
1,Schleswig-Holstein,1820121,9363,626.812,-1,-1,-1,-1,1232125,147418,1352460,31415
16,Thüringen,1149977,4011,539.040,-1,-1,-1,-1,817725,123168,916732,18585
0,Gesamt,49248479,217125,592.166,-1,-1,-1,-1,33873872,4043966,37124516,749400
