RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7172083,7980,646.111,-1,-1,-1,-1,5048297,550574,6471571,8896
9,Bayern,8409980,8290,640.773,-1,-1,-1,-1,5997361,666571,7606492,10815
11,Berlin,2448178,2456,667.171,-1,-1,-1,-1,1717681,283718,2210691,3934
12,Brandenburg,1536102,1566,609.107,-1,-1,-1,-1,1058153,131873,1352289,1815
4,Bremen,530608,687,778.929,-1,-1,-1,-1,358899,34616,462435,885
2,Hamburg,1310116,1285,709.224,-1,-1,-1,-1,923799,118247,1160437,2094
6,Hessen,4216590,3828,670.569,-1,-1,-1,-1,2938701,342652,3715033,6568
13,Mecklenburg-Vorpommern,1047107,968,651.130,-1,-1,-1,-1,763509,82255,937392,1484
3,Niedersachsen,5597472,3914,700.243,-1,-1,-1,-1,3605831,470523,4834544,11753
5,Nordrhein-Westfalen,12872727,9112,717.255,-1,-1,-1,-1,9078243,790445,11165026,16514
7,Rheinland-Pfalz,2821451,2065,689.184,-1,-1,-1,-1,2024021,213784,2451763,3902
10,Saarland,722758,499,732.361,-1,-1,-1,-1,541592,57305,646871,921
14,Sachsen,2316486,3028,568.886,-1,-1,-1,-1,1710281,207393,2095714,3180
15,Sachsen-Anhalt,1366091,1145,622.427,-1,-1,-1,-1,960564,118642,1213776,1311
1,Schleswig-Holstein,2096772,1196,722.085,-1,-1,-1,-1,1446623,168193,1853164,1067
16,Thüringen,1271595,525,596.048,-1,-1,-1,-1,908679,126205,1157892,940
0,Gesamt,55928510,48549,672.487,-1,-1,-1,-1,39163998,4445579,49510790,76094
