RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7163901,5340,645.374,-1,-1,-1,-1,5041624,550415,6462654,6487
9,Bayern,8401351,3812,640.116,-1,-1,-1,-1,5990283,666294,7594703,4686
11,Berlin,2445636,758,666.478,-1,-1,-1,-1,1715700,283372,2206064,1613
12,Brandenburg,1534481,39,608.464,-1,-1,-1,-1,1057029,131869,1350416,23
4,Bremen,529909,275,777.903,-1,-1,-1,-1,358383,34594,461604,825
2,Hamburg,1308535,456,708.368,-1,-1,-1,-1,922561,118231,1158007,450
6,Hessen,4212195,2064,669.870,-1,-1,-1,-1,2935026,342586,3707931,3346
13,Mecklenburg-Vorpommern,1046031,130,650.461,-1,-1,-1,-1,762587,82241,935895,91
3,Niedersachsen,5591414,413,699.486,-1,-1,-1,-1,3602815,470460,4821968,1400
5,Nordrhein-Westfalen,12857666,4945,716.415,-1,-1,-1,-1,9066208,790171,11143797,12558
7,Rheinland-Pfalz,2819144,11,688.620,-1,-1,-1,-1,2022056,213766,2447692,22
10,Saarland,722148,11,731.743,-1,-1,-1,-1,541160,57302,645930,0
14,Sachsen,2313139,1277,568.064,-1,-1,-1,-1,1707859,206660,2092332,1646
15,Sachsen-Anhalt,1364870,221,621.870,-1,-1,-1,-1,959585,118628,1212457,400
1,Schleswig-Holstein,2095467,1401,721.636,-1,-1,-1,-1,1445618,168176,1852050,3211
16,Thüringen,1271044,1350,595.789,-1,-1,-1,-1,908254,126189,1156968,234
0,Gesamt,55869314,22503,671.775,-1,-1,-1,-1,39118501,4443537,49426149,36992
